,prefix,subject,fwh,mask,stat,mean,std
1511,rr,sub-CTS210,2,union,sig,5.703526500706676,1.6970749640027816
1510,rr,sub-adult15,12,union,mean,3826.446044921875,675.2794189453125
1509,rr.rs,sub-xp207,18,union,sig,8.666474904846432,0.7188412741898152
1508,rs,sub-1,9,union,sig,6.991947503188765,0.4212534171728301
1507,rr,sub-adult16,20,union,sig,9.391265644401416,0.8083676294939013
1506,rs,sub-xp207,19,union,std,0.7566698789596558,0.7005370259284973
1505,rr,sub-adult16,1,union,sig,7.678802399400256,1.8335913774325592
1504,rs,sub-adult16,10,union,sig,9.167608753517882,1.0677581178792208
1503,rr.rs,sub-36,18,union,mean,393.6603088378906,36.59947967529297
1502,rr,sub-1,5,union,sig,8.308255498676155,1.6040844975027213
1501,rs,sub-36,10,union,sig,9.13985577844177,1.003144358762102
1500,rs,sub-xp201,19,union,sig,9.912850524539827,0.8906650589506561
1499,rs,sub-CTS210,12,union,mean,114.08992004394531,7.319614887237549
1498,rr.rs,sub-xp201,18,union,std,3.772847890853882,3.3144936561584473
1497,rr,sub-CTS210,11,union,mean,114.0955810546875,7.553062915802002
1496,rr.rs,sub-36,17,union,mean,394.55987548828125,37.085018157958984
1495,rs,sub-36,14,union,sig,9.317971712790662,0.8604387847744894
1494,rr,sub-1,1,union,sig,6.891668807606316,1.9524683376666785
1493,rr.rs,sub-adult16,11,union,mean,5536.08447265625,940.46240234375
1492,rr,sub-CTS201,18,union,mean,383.3124694824219,42.250370025634766
1491,rs,sub-CTS201,14,union,mean,387.81561279296875,42.909019470214844
1490,rs,sub-adult16,15,union,mean,5505.24169921875,818.8169555664062
1489,rs,sub-CTS201,2,union,mean,397.96331787109375,73.10508728027344
1488,rr,sub-CTS210,6,union,sig,7.121611634906371,1.6265572900961238
1487,rr,sub-xp207,14,union,mean,455.1549377441406,42.567562103271484
1486,rr,sub-CTS201,17,union,mean,384.5527038574219,42.22697067260742
1485,rr,sub-adult16,5,union,sig,8.675138298470207,1.3788159877112602
1484,rs,sub-adult16,14,union,sig,9.306322652216672,0.9732135875966464
1483,rr.rs,sub-CTS201,16,union,std,0.5059418082237244,0.4121195375919342
1482,rr,sub-adult15,6,union,sig,7.8784364131015465,1.2524245244177001
1481,rr,sub-1,9,union,sig,8.885699301664413,1.2393316954605003
1480,rr.rs,sub-xp201,14,union,std,4.05047607421875,3.7359886169433594
1479,rs,sub-xp201,15,union,sig,9.78219372118709,0.9606680118246343
1478,rr.rs,sub-adult16,5,union,mean,5607.59130859375,1256.2752685546875
1477,rs,sub-CTS201,13,union,std,0.5645207762718201,0.49135148525238037
1476,rr,sub-1,12,union,mean,675.3223266601562,76.43887329101562
1475,rs,sub-xp207,15,union,std,0.8793624639511108,1.0336670875549316
1474,rs,sub-1,5,union,sig,6.845157917020826,0.6377977478223551
1473,rr.rs,sub-xp207,14,union,sig,8.55262290111006,0.8384355515909351
1472,rr.rs,sub-CTS210,20,union,std,0.33045119047164917,0.2828487753868103
1471,rs,sub-adult16,18,union,sig,9.374071616310756,0.9155589889166624
1470,rr,sub-adult16,9,union,sig,9.048725490923783,1.120593334955853
1469,rs,sub-1,1,union,sig,6.264146256618218,1.1850552735793918
1468,rr.rs,sub-xp207,10,union,sig,8.344486823349825,1.018998145145999
1467,rs,sub-xp207,11,union,std,1.1255491971969604,1.750990867614746
1466,rs,sub-CTS201,17,union,std,0.5179274678230286,0.38014864921569824
1465,rr.rs,sub-adult15,20,union,std,7.281026840209961,4.055308818817139
1464,rr.rs,sub-CTS201,12,union,std,0.5677844882011414,0.5843827724456787
1463,rs,sub-xp201,11,union,sig,9.568181048402248,1.066775395848579
1462,rr.rs,sub-xp201,10,union,std,4.555825233459473,4.488159656524658
1461,rr,sub-adult15,2,union,sig,7.009980262734736,1.6959837719280146
1460,rs,sub-36,18,union,sig,9.42492747479112,0.761088678779164
1459,rr,sub-adult15,19,union,std,6.881296634674072,5.013034343719482
1458,rr,sub-xp201,4,union,mean,641.7976684570312,99.96318817138672
1457,rr,sub-CTS210,14,union,sig,8.173309515978316,1.341577841628714
1456,rs,sub-36,8,union,sig,9.00052748076978,1.0966942232454218
1455,rr.rs,sub-1,11,union,mean,673.4336547851562,79.28573608398438
1454,rr.rs,sub-36,17,union,sig,9.375159718380102,0.8309768770637155
1453,rs,sub-1,13,union,mean,673.1607666015625,73.41071319580078
1452,rr.rs,sub-adult16,11,union,sig,9.117275340097374,1.153486324542542
1451,rs,sub-1,2,union,mean,688.6829223632812,135.39085388183594
1450,rr.rs,sub-xp201,0,union,mean,647.4238891601562,135.41586303710938
1449,rr.rs,sub-36,13,union,sig,9.279384043981198,0.953160844066306
1448,rr.rs,sub-adult16,15,union,sig,9.25203761522805,1.0354483793912017
