,prefix,subject,fwh,mask,stat,mean,std
1511,rr.rs,sub-CTS210,7,union,mean,115.18348693847656,9.801280975341797
1510,rr.rs,sub-xp207,8,union,mean,458.2302551269531,55.879852294921875
1509,rs,sub-adult16,8,union,sig,9.049954068949175,1.1444195053388775
1508,rr.rs,sub-xp207,20,union,mean,451.61663818359375,36.77595520019531
1507,rr.rs,sub-xp201,3,union,sig,5.140425108995556,1.4695044358288498
1506,rs,sub-36,9,union,sig,9.07562025189177,1.04749188409266
1505,rr,sub-CTS201,16,union,std,0.4406374394893646,0.33152538537979126
1504,rr.rs,sub-xp207,7,union,mean,459.0101013183594,59.7153205871582
1503,rr.rs,sub-CTS210,8,union,mean,114.93267822265625,9.142568588256836
1502,rs,sub-xp207,3,union,mean,463.03460693359375,84.34980773925781
1501,rs,sub-CTS210,4,union,sig,6.156442254960785,1.7386821227026508
1500,rs,sub-adult15,3,union,sig,7.311097407712586,1.3584654490158323
1499,rs,sub-CTS210,5,union,mean,115.73652648925781,11.398761749267578
1498,rs,sub-CTS210,0,union,sig,3.7693626666564195,1.3479914944241111
1497,rr,sub-xp207,2,union,mean,464.48614501953125,92.94377136230469
1496,rr,sub-CTS210,20,union,std,0.26035115122795105,0.22938254475593567
1495,rs,sub-adult15,7,union,sig,7.904101674716377,0.9915096329431198
1494,rs,sub-adult15,19,union,sig,8.378110579675077,0.7242368055784234
1493,rr.rs,sub-xp201,7,union,sig,5.595593578213526,1.4082706144703054
1492,rr,sub-CTS201,12,union,std,0.4968417286872864,0.4885194003582001
1491,rr.rs,sub-adult16,13,union,sig,9.193232673311947,1.088717877482271
1490,rs,sub-adult15,11,union,sig,8.161346147491443,0.8403627005199057
1489,rr,sub-xp207,13,union,std,0.8708193898200989,1.0903090238571167
1488,rs,sub-CTS210,8,union,sig,7.1094828442768785,1.5707222049433605
1487,rs,sub-1,12,union,std,2.6215837001800537,0.6564823389053345
1486,rr.rs,sub-CTS210,16,union,sig,7.9225825923981645,1.2765897232506114
1485,rr.rs,sub-xp201,16,union,std,3.8954060077667236,3.493332862854004
1484,rs,sub-1,15,union,mean,671.2195434570312,69.11145782470703
1483,rr,sub-xp201,13,union,sig,9.837293858197821,1.222003470274393
1482,rs,sub-adult16,4,union,sig,8.593077986089453,1.4063726592774823
1481,rr.rs,sub-xp207,16,union,sig,8.617427342520745,0.7733656466856429
1480,rs,sub-36,5,union,sig,8.678426145218907,1.2768905354340296
1479,rr.rs,sub-xp201,19,union,mean,616.8809814453125,62.623714447021484
1478,rs,sub-36,1,union,sig,7.352025338643469,1.571400473712304
1477,rs,sub-36,16,union,mean,395.5754089355469,37.63201141357422
1476,rr.rs,sub-xp207,12,union,sig,8.465336033297316,0.9196534467375306
1475,rs,sub-xp201,14,union,mean,623.5853881835938,67.27603149414062
1474,rr.rs,sub-CTS201,20,union,sig,9.252719332065048,0.9241599304210757
1473,rr,sub-1,4,union,mean,685.3865966796875,117.58627319335938
1472,rr,sub-xp201,17,union,sig,9.996224869837333,1.115374030227973
1471,rs,sub-adult16,0,union,sig,7.578764181112323,1.8348988248805913
1470,rs,sub-adult16,3,union,mean,5643.44970703125,1434.5716552734375
1469,rs,sub-adult15,15,union,sig,8.291793026332199,0.7709584405833052
1468,rr.rs,sub-xp201,16,union,mean,620.8152465820312,65.33141326904297
1467,rr.rs,sub-adult16,17,union,sig,9.298897596215786,0.99151737584679
1466,rr.rs,sub-CTS210,12,union,sig,7.660819799504539,1.3659441262756211
1465,rr.rs,sub-36,4,union,mean,410.6772155761719,59.153934478759766
1464,rr.rs,sub-xp201,12,union,std,4.258193016052246,4.059401035308838
1463,rs,sub-1,16,union,std,2.551007032394409,0.47248905897140503
1462,rs,sub-36,19,union,mean,392.85784912109375,36.174835205078125
1461,rr,sub-xp207,17,union,std,0.7121784687042236,0.7227964997291565
1460,rr,sub-adult16,0,union,mean,5673.79833984375,1704.591064453125
1459,rr,sub-adult15,6,union,mean,3869.158203125,910.6153564453125
1458,rr.rs,sub-adult15,4,union,sig,7.396376116750082,1.3445137101496067
1457,rr,sub-xp201,12,union,mean,626.5234375,70.2693862915039
1456,rr,sub-36,16,union,std,0.34090232849121094,0.27247267961502075
1455,rs,sub-adult15,5,union,mean,3879.903564453125,967.0528564453125
1454,rr,sub-adult16,14,union,std,6.608950138092041,4.727269172668457
1453,rr,sub-adult15,9,union,mean,3844.336181640625,773.2413940429688
1452,rr,sub-36,10,union,mean,401.580078125,42.94473648071289
1451,rr,sub-1,14,union,mean,673.57470703125,71.35650634765625
1450,rr.rs,sub-adult16,14,union,mean,5510.90478515625,844.845703125
1449,rr,sub-adult16,10,union,std,7.7645039558410645,6.605264186859131
1448,rs,sub-adult16,20,union,std,6.1163506507873535,5.627890110015869
1447,rr.rs,sub-xp207,9,union,sig,8.263510851632063,1.0782640229344154
1446,rr.rs,sub-adult15,0,union,sig,6.239530933073662,1.7919975310306313
1445,rs,sub-CTS210,19,union,sig,7.9935173692673125,1.288712780709917
1444,rr,sub-36,12,union,std,0.4119432270526886,0.3961118161678314
1443,rr.rs,sub-adult16,3,union,sig,8.303289079188252,1.6490001768642042
1442,rs,sub-CTS201,7,union,std,0.7258415818214417,0.8356378674507141
1441,rs,sub-adult15,16,union,mean,3804.990966796875,577.6707763671875
1440,rs,sub-xp207,20,union,std,0.735482931137085,0.6446576118469238
1439,rr,sub-adult16,18,union,std,6.008203506469727,3.7668681144714355
1438,rr.rs,sub-CTS201,16,union,mean,385.7269287109375,42.307579040527344
1437,rs,sub-CTS210,11,union,sig,7.527974289059785,1.46757630237843
1436,rs,sub-adult15,19,union,mean,3787.95458984375,523.458740234375
1435,rr.rs,sub-adult15,8,union,sig,7.910565912173799,1.0102367709564373
1434,rs,sub-xp201,20,union,sig,9.934848623569179,0.8770252583062095
1433,rr.rs,sub-xp207,1,union,sig,6.30752317390971,1.8007984920139237
1432,rr.rs,sub-CTS201,19,union,mean,382.0151062011719,42.35502243041992
1431,rs,sub-CTS210,15,union,sig,7.8440809008600505,1.362695051654901
1430,rr.rs,sub-CTS210,10,union,mean,114.48347473144531,8.152030944824219
1429,rr.rs,sub-xp207,5,union,sig,7.719322906124077,1.42004187233325
1428,rr,sub-CTS210,3,union,mean,116.17425537109375,13.773234367370605
1427,rr,sub-adult16,11,union,mean,5536.7958984375,940.951416015625
1426,rs,sub-CTS201,3,union,std,1.1566842794418335,1.6492291688919067
1425,rr.rs,sub-adult16,7,union,sig,8.86530717848147,1.338999290637134
1424,rr.rs,sub-1,11,union,sig,7.228653111435548,0.5764114729883805
1423,rs,sub-xp207,14,union,sig,8.34605919603239,0.825259109466251
1422,rr,sub-adult16,9,union,sig,9.048725490923783,1.120593334955853
1421,rs,sub-36,15,union,sig,9.350500780622623,0.831020417862091
1420,rs,sub-xp201,7,union,sig,9.16600959164589,1.2753817908667857
1419,rr,sub-xp207,9,union,sig,8.38538907524596,1.257350338694517
1418,rr.rs,sub-adult15,13,union,mean,3819.879150390625,647.49169921875
1417,rs,sub-CTS201,17,union,std,0.5179274678230286,0.38014864921569824
1416,rr.rs,sub-36,6,union,std,0.7854181528091431,0.9274672269821167
1415,rs,sub-xp201,14,union,std,0.5374627113342285,0.42391520738601685
1414,rr,sub-adult15,2,union,sig,7.009980262734736,1.6959837719280146
1413,rs,sub-xp201,10,union,std,0.6839781999588013,0.6516417860984802
1412,rr.rs,sub-36,2,union,std,1.5859700441360474,2.3481972217559814
1411,rr.rs,sub-adult15,7,union,mean,3858.33203125,858.0322265625
1410,rr,sub-adult15,6,union,sig,7.8784364131015465,1.2524245244177001
1409,rs,sub-xp207,10,union,sig,8.142254833053954,0.972924932766839
1408,rr,sub-36,20,union,mean,391.774169921875,35.840999603271484
1407,rr.rs,sub-1,15,union,sig,7.307860091673739,0.5415161364150357
1406,rr.rs,sub-adult15,8,union,mean,3850.094970703125,812.6436157226562
1405,rs,sub-CTS201,13,union,std,0.5645207762718201,0.49135148525238037
1404,rs,sub-adult16,18,union,sig,9.374071616310756,0.9155589889166624
1403,rs,sub-36,11,union,sig,9.19479340336517,0.9622376114136623
1402,rr,sub-36,4,union,mean,410.6524963378906,59.12299728393555
1401,rs,sub-xp201,3,union,sig,8.341287738263015,1.6601263563127453
1400,rr,sub-CTS210,11,union,mean,114.0955810546875,7.553062915802002
1399,rr.rs,sub-CTS210,20,union,mean,112.28721618652344,7.144549369812012
1398,rr,sub-adult15,19,union,mean,3789.634521484375,524.3705444335938
1397,rs,sub-xp201,18,union,std,0.468982070684433,0.3215041756629944
1396,rr.rs,sub-CTS201,0,union,mean,399.1349792480469,85.08248138427734
1395,rr.rs,sub-CTS210,6,union,sig,6.762104233868083,1.6012647264200115
1394,rs,sub-CTS210,12,union,mean,114.08992004394531,7.319614887237549
1393,rr,sub-xp207,5,union,sig,7.779294754834047,1.5644244818757471
1392,rs,sub-adult16,10,union,sig,9.167608753517882,1.0677581178792208
1391,rs,sub-36,19,union,sig,9.443133849943814,0.7426345632827569
1390,rr.rs,sub-adult15,12,union,sig,8.157800879367604,0.8277523005682392
1389,rs,sub-CTS201,2,union,mean,397.96331787109375,73.10508728027344
1388,rr,sub-xp207,14,union,mean,455.1549377441406,42.567562103271484
1387,rr,sub-CTS210,3,union,std,1.5497015714645386,1.7338125705718994
1386,rr,sub-adult15,16,union,mean,3806.516357421875,578.6666870117188
1385,rr,sub-adult16,5,union,sig,8.675138298470207,1.3788159877112602
1384,rr,sub-adult16,20,union,sig,9.391265644401416,0.8083676294939013
1383,rs,sub-xp207,18,union,sig,8.47308911586717,0.7237447333702003
1382,rr.rs,sub-adult15,16,union,sig,8.294632264456625,0.7317068429203172
1381,rr,sub-xp207,1,union,sig,6.273090609048852,1.8400360054995473
1380,rr,sub-CTS201,17,union,mean,384.5527038574219,42.22697067260742
1379,rs,sub-adult16,14,union,sig,9.306322652216672,0.9732135875966464
1378,rs,sub-adult16,11,union,mean,5538.9912109375,940.9651489257812
1377,rr,sub-adult16,1,union,sig,7.678802399400256,1.8335913774325592
1376,rs,sub-CTS201,14,union,mean,387.81561279296875,42.909019470214844
1375,rr.rs,sub-1,19,union,sig,7.344577881017316,0.5235798591317682
1374,rr.rs,sub-36,18,union,mean,393.6603088378906,36.59947967529297
1373,rr,sub-CTS210,7,union,std,0.6580156087875366,0.7209364175796509
1372,rr,sub-CTS201,18,union,mean,383.3124694824219,42.250370025634766
1371,rr.rs,sub-CTS210,2,union,sig,5.370219963924463,1.6596594687461381
1370,rr.rs,sub-36,17,union,mean,394.55987548828125,37.085018157958984
1369,rr,sub-adult15,15,union,std,7.59616756439209,5.783257961273193
1368,rr,sub-xp201,7,union,sig,9.261396226190783,1.5004918173759085
1367,rs,sub-xp207,9,union,sig,8.067094129545787,1.0225266825013357
1366,rr,sub-CTS201,0,union,sig,7.21339312954775,1.776759018433867
1365,rr.rs,sub-CTS201,10,union,std,0.6165584921836853,0.7155206799507141
1364,rr,sub-1,6,union,sig,8.490733623934927,1.5003383076130254
1363,rr.rs,sub-CTS201,5,union,std,0.9052609205245972,1.3471938371658325
1362,rr.rs,sub-CTS201,14,union,std,0.5326671004295349,0.48648470640182495
1361,rr,sub-36,9,union,sig,9.232131099131532,1.0806193664416153
1360,rr.rs,sub-xp207,10,union,mean,456.8874206542969,50.00128936767578
1359,rr.rs,sub-CTS201,1,union,std,2.7852203845977783,4.950683116912842
1358,rr,sub-1,2,union,sig,7.50165719345106,1.915185610228897
1357,rs,sub-xp207,12,union,mean,455.8041076660156,45.844966888427734
1356,rr,sub-adult15,11,union,std,8.944035530090332,7.2650885581970215
1355,rr,sub-CTS201,4,union,sig,8.723836126335048,1.417044527749102
1354,rr,sub-xp201,3,union,sig,8.375220251151369,1.846099176918192
1353,rr,sub-CTS201,4,union,mean,395.7039489746094,63.668399810791016
1352,rr,sub-CTS210,18,union,sig,8.345133016166168,1.284663920697973
1351,rr.rs,sub-CTS201,9,union,std,0.6490431427955627,0.7981314659118652
1350,rr.rs,sub-1,7,union,sig,7.051967557028081,0.6971255097922935
1349,rr,sub-36,1,union,sig,7.4875790423345014,1.6525604888404255
1348,rr.rs,sub-36,16,union,std,0.43325522541999817,0.28373953700065613
1347,rr,sub-xp201,1,union,mean,647.5669555664062,129.46795654296875
1346,rs,sub-1,4,union,mean,684.2587280273438,116.9714584350586
1345,rr.rs,sub-1,5,union,mean,680.5773315429688,109.62394714355469
1344,rs,sub-xp207,5,union,sig,7.554435666420701,1.341077885106319
1343,rr,sub-CTS210,10,union,sig,7.807150160808432,1.4493268121083396
1342,rr.rs,sub-adult16,1,union,mean,5670.15380859375,1666.552978515625
1341,rs,sub-1,6,union,sig,6.9025689906267855,0.5642086699458052
1340,rr,sub-adult15,19,union,std,6.881296634674072,5.013034343719482
1339,rr,sub-1,16,union,std,0.7123194932937622,0.5858103632926941
1338,rr.rs,sub-1,14,union,mean,670.9080810546875,71.06855010986328
1337,rs,sub-1,2,union,sig,6.5228016667748205,0.9779983063234757
1336,rr,sub-CTS201,8,union,sig,9.149325606406226,1.1351378091465785
1335,rr,sub-CTS210,14,union,sig,8.173309515978316,1.341577841628714
1334,rs,sub-xp207,1,union,sig,6.230796763864553,1.7590885763156159
1333,rr,sub-1,12,union,std,0.8701857924461365,0.8297656178474426
1332,rs,sub-36,5,union,mean,409.21124267578125,54.70577621459961
1331,rr.rs,sub-1,3,union,sig,6.650388926126591,1.0131385736525955
1330,rs,sub-xp201,0,union,mean,647.9507446289062,135.79794311523438
1329,rr.rs,sub-CTS201,18,union,std,0.48454755544662476,0.3543710708618164
1328,rr.rs,sub-xp201,4,union,mean,641.3220825195312,100.29850769042969
1327,rr.rs,sub-36,12,union,std,0.500975489616394,0.40831127762794495
1326,rr,sub-36,5,union,sig,8.852286575518848,1.3522216435193928
1325,rr,sub-xp201,19,union,std,0.43176522850990295,0.3458003103733063
1324,rr.rs,sub-xp201,5,union,std,6.384651184082031,6.689550399780273
1323,rr,sub-CTS201,10,union,sig,9.259792631281092,1.036156411952236
1322,rr,sub-36,17,union,mean,394.5197448730469,37.092708587646484
1321,rr,sub-1,13,union,mean,674.489501953125,73.69934844970703
1320,rr,sub-xp201,15,union,mean,622.3887329101562,66.02336883544922
1319,rr,sub-xp207,19,union,sig,8.900310170826652,0.9170334920966662
1318,rs,sub-1,18,union,sig,7.046769267429701,0.30157407603322767
1317,rs,sub-CTS210,2,union,std,2.6800687313079834,2.698895215988159
1316,rr,sub-adult15,1,union,mean,3923.53564453125,1300.671875
1315,rr.rs,sub-adult16,19,union,std,5.889983654022217,5.243331432342529
1314,rs,sub-adult15,2,union,mean,3914.213623046875,1195.7220458984375
1313,rs,sub-adult15,5,union,std,14.568880081176758,14.730635643005371
1312,rr,sub-36,18,union,mean,393.6192932128906,36.607337951660156
1311,rr.rs,sub-CTS210,18,union,std,0.34653452038764954,0.3075008690357208
1310,rr.rs,sub-xp201,18,union,sig,5.975516807430654,1.4410942598545278
1309,rs,sub-CTS210,6,union,std,1.0125919580459595,1.0933033227920532
1308,rr,sub-1,20,union,std,0.6435873508453369,0.4686174988746643
1307,rs,sub-adult15,1,union,std,37.307254791259766,51.879417419433594
1306,rr.rs,sub-xp201,1,union,std,12.223320960998535,13.587526321411133
1305,rr.rs,sub-xp207,18,union,std,0.7471913695335388,0.683265745639801
1304,rr.rs,sub-36,20,union,std,0.39538779854774475,0.21490758657455444
1303,rr.rs,sub-adult16,13,union,mean,5519.021484375,874.0606689453125
1302,rr,sub-CTS201,14,union,sig,9.385403674505831,0.8935375526553656
1301,rs,sub-adult15,9,union,std,10.112451553344727,7.281251907348633
1300,rs,sub-adult15,17,union,std,7.950089454650879,4.354975700378418
1299,rr.rs,sub-adult16,15,union,std,6.4915056228637695,6.147242546081543
1298,rr.rs,sub-36,20,union,mean,391.81683349609375,35.833091735839844
