,prefix,subject,fwh,mask,stat,mean,std
1511,rr.rs,sub-CTS210,0,union,std,6.367938995361328,4.734634876251221
1510,rs,sub-36,0,union,mean,415.4987487792969,83.19998168945312
1509,rr,sub-CTS201,20,union,std,0.40686070919036865,0.24231253564357758
1508,rs,sub-CTS201,5,union,sig,8.418734629766321,1.1152008519387033
1507,rs,sub-1,20,union,mean,664.125244140625,63.85563278198242
1506,rr,sub-36,11,union,mean,400.3863525390625,41.725460052490234
1505,rs,sub-adult16,16,union,sig,9.346049690543198,0.9427776017446063
1504,rr,sub-CTS210,12,union,std,0.3672322928905487,0.37036994099617004
1503,rr.rs,sub-CTS210,4,union,mean,116.05363464355469,12.635361671447754
1502,rr.rs,sub-CTS201,18,union,sig,9.238015029800467,0.9590149479299424
1501,rr.rs,sub-1,4,union,std,5.002000331878662,4.2016682624816895
1500,rr.rs,sub-36,3,union,mean,412.3023986816406,64.39049530029297
1499,rr.rs,sub-36,10,union,mean,401.61431884765625,42.94255065917969
1498,rr.rs,sub-xp201,3,union,mean,643.439208984375,108.36873626708984
1497,rr,sub-CTS210,16,union,std,0.29192858934402466,0.2760470509529114
1496,rr.rs,sub-1,0,union,std,9.75656795501709,12.615790367126465
1495,rs,sub-CTS201,1,union,sig,7.327251632060943,1.625267138264299
1494,rs,sub-CTS201,5,union,mean,394.8279113769531,59.54731750488281
1493,rr.rs,sub-CTS210,4,union,std,1.4470034837722778,1.5669888257980347
1492,rs,sub-adult16,12,union,sig,9.25056889152887,1.012528372293283
1491,rr,sub-xp207,13,union,mean,455.6296081542969,44.071937561035156
1490,rs,sub-1,3,union,mean,686.542236328125,125.51333618164062
1489,rs,sub-adult16,7,union,mean,5583.216796875,1121.428466796875
1488,rr,sub-xp207,5,union,mean,461.1461181640625,70.08700561523438
1487,rr.rs,sub-1,8,union,std,3.844801425933838,1.4789799451828003
1486,rr.rs,sub-CTS201,18,union,mean,383.3206787109375,42.22197341918945
1485,rr.rs,sub-CTS201,14,union,sig,9.187692902453772,1.0394080327720105
1484,rr,sub-adult16,4,union,mean,5623.3291015625,1341.024658203125
1483,rs,sub-adult16,8,union,mean,5570.59765625,1067.7926025390625
1482,rr.rs,sub-CTS201,17,union,mean,384.5603332519531,42.199649810791016
1481,rs,sub-CTS201,9,union,sig,8.62995309984736,0.9168195419629228
1480,rr.rs,sub-adult15,15,union,mean,3810.107177734375,599.4274291992188
1479,rr.rs,sub-adult16,20,union,sig,9.349413169995403,0.9375906905432403
1478,rr.rs,sub-xp201,15,union,mean,622.1158447265625,66.4681625366211
1477,rr.rs,sub-CTS210,8,union,std,0.6993107199668884,0.7384073138237
1476,rr.rs,sub-1,20,union,sig,7.35021872948499,0.5202619540936362
1475,rs,sub-xp207,4,union,mean,461.89691162109375,76.69403839111328
1474,rr.rs,sub-CTS201,10,union,sig,9.074154073362449,1.1500126506805166
1473,rr.rs,sub-CTS210,11,union,mean,114.27596282958984,7.7934160232543945
1472,rr,sub-adult15,11,union,mean,3831.85693359375,704.8465576171875
1471,rr.rs,sub-adult15,11,union,std,9.35274887084961,6.504934787750244
1470,rr,sub-1,14,union,sig,9.239871586085945,0.9677696563268628
1469,rr,sub-xp207,11,union,sig,8.561629165206504,1.1647363450951107
1468,rs,sub-CTS201,19,union,sig,8.761187525160885,0.6945373199341054
1467,rr,sub-36,3,union,std,1.172507405281067,1.7002109289169312
1466,rr,sub-xp201,11,union,std,0.6324609518051147,0.6568880677223206
1465,rr,sub-adult16,7,union,std,9.627731323242188,9.743905067443848
1464,rs,sub-adult16,19,union,mean,5468.51025390625,732.8368530273438
1463,rr,sub-adult16,3,union,std,16.7567138671875,22.001371383666992
1462,rr,sub-xp201,15,union,std,0.5005078315734863,0.4575819671154022
1461,rr,sub-36,7,union,std,0.6235523223876953,0.7722640037536621
1460,rr,sub-adult15,2,union,mean,3912.95947265625,1199.3126220703125
1459,rr,sub-adult15,8,union,std,11.072745323181152,10.049160957336426
1458,rs,sub-adult16,16,union,mean,5496.7890625,794.2175903320312
1457,rs,sub-36,18,union,std,0.3956480324268341,0.23068732023239136
1456,rr,sub-xp207,15,union,sig,8.779567229954283,1.0300411800367986
1455,rs,sub-adult15,1,union,mean,3924.87939453125,1297.332275390625
1454,rr.rs,sub-adult15,15,union,std,8.086616516113281,5.001471042633057
1453,rr,sub-1,10,union,sig,8.979997430872421,1.1695397780434569
1452,rr.rs,sub-36,20,union,std,0.39538779854774475,0.21490758657455444
1451,rr,sub-36,1,union,mean,414.8923645019531,78.2051010131836
1450,rs,sub-CTS201,15,union,sig,8.732705535737557,0.7645456486548298
1449,rs,sub-xp207,15,union,mean,454.3663024902344,41.30672836303711
1448,rr,sub-1,18,union,sig,9.371508056656694,0.8558890335075228
1447,rs,sub-CTS210,6,union,std,1.0125919580459595,1.0933033227920532
1446,rr.rs,sub-CTS201,3,union,sig,8.361601114067632,1.5333066802527748
1445,rs,sub-36,10,union,std,0.5318405628204346,0.4827476441860199
1444,rr,sub-adult15,13,union,std,8.147741317749023,6.3645405769348145
1443,rr,sub-CTS201,3,union,mean,396.76129150390625,68.14737701416016
1442,rr,sub-adult15,0,union,std,50.2442741394043,70.52501678466797
1441,rr.rs,sub-CTS201,7,union,sig,8.893033811784088,1.2717609804522438
1440,rr,sub-xp207,19,union,sig,8.900310170826652,0.9170334920966662
1439,rs,sub-CTS210,2,union,std,2.6800687313079834,2.698895215988159
1438,rr.rs,sub-adult15,19,union,std,7.4063639640808105,4.214947700500488
1437,rs,sub-1,20,union,std,2.5056228637695312,0.40004733204841614
1436,rr.rs,sub-xp207,20,union,sig,8.705509555415894,0.6732238306686061
1435,rr,sub-adult15,4,union,std,19.09052085876465,22.512252807617188
1434,rs,sub-36,18,union,mean,393.7711181640625,36.59239959716797
1433,rr,sub-adult15,17,union,std,7.190568447113037,5.358718395233154
1432,rs,sub-36,14,union,std,0.4425845742225647,0.31758588552474976
1431,rr,sub-xp201,19,union,std,0.43176522850990295,0.3458003103733063
1430,rs,sub-CTS201,20,union,mean,380.6180419921875,42.501399993896484
1429,rs,sub-36,17,union,mean,394.6733703613281,37.077667236328125
1428,rs,sub-CTS201,11,union,sig,8.679695014464706,0.8576912476932569
1427,rr.rs,sub-xp201,20,union,std,3.669908046722412,3.188082218170166
1426,rr,sub-xp201,6,union,std,1.150207281112671,1.4671728610992432
1425,rr.rs,sub-xp201,10,union,sig,5.778228400977274,1.4189451797433204
1424,rr.rs,sub-xp201,9,union,sig,5.728134938604436,1.4164073137397115
1423,rs,sub-xp207,8,union,std,1.5439517498016357,2.9590184688568115
1422,rr.rs,sub-36,14,union,sig,9.308976003373317,0.9174445148010913
1421,rr,sub-1,8,union,sig,8.77552831666939,1.317245596038888
1420,rs,sub-36,7,union,std,0.6704152822494507,0.7308642864227295
1419,rs,sub-xp201,13,union,mean,624.9622192382812,68.67829132080078
1418,rr.rs,sub-xp207,10,union,std,1.1639125347137451,1.9140851497650146
1417,rs,sub-CTS210,13,union,std,0.45001813769340515,0.44816431403160095
1416,rr.rs,sub-adult16,7,union,std,10.029332160949707,11.25191593170166
1415,rs,sub-adult15,17,union,sig,8.339041858848836,0.7464976966237902
1414,rs,sub-adult15,11,union,mean,3830.931884765625,703.3370361328125
1413,rs,sub-1,4,union,sig,6.766906307212939,0.7294822176367842
1412,rs,sub-1,10,union,sig,7.004832881037511,0.3938139985431117
1411,rs,sub-36,20,union,sig,9.459330852189888,0.7251584056263632
1410,rs,sub-CTS210,17,union,std,0.36956533789634705,0.3434714674949646
1409,rr.rs,sub-xp207,14,union,std,0.8806126713752747,1.0501034259796143
1408,rs,sub-1,14,union,sig,7.030494596385818,0.32535797935933547
1407,rs,sub-1,0,union,sig,6.1679120315653195,1.2448907222298922
1406,rs,sub-adult15,13,union,sig,8.236179139542642,0.7994492162626052
1405,rr.rs,sub-adult16,3,union,std,17.790971755981445,23.686220169067383
1404,rr,sub-adult16,16,union,mean,5495.28515625,793.7933349609375
1403,rr.rs,sub-adult15,8,union,std,11.338423728942871,9.298891067504883
1402,rr.rs,sub-xp201,14,union,sig,5.898841461488237,1.4265666417786609
1401,rr,sub-xp201,2,union,std,3.0233168601989746,4.681136131286621
1400,rs,sub-36,3,union,std,1.1878259181976318,1.6057910919189453
1399,rr,sub-adult16,19,union,mean,5467.21484375,732.4343872070312
1398,rr.rs,sub-36,10,union,sig,9.164139618217108,1.0779196501339912
1397,rr.rs,sub-adult16,0,union,mean,5673.568359375,1703.361328125
1396,rs,sub-1,8,union,sig,6.973132989865099,0.4565947026395754
1395,rr,sub-1,20,union,std,0.6435873508453369,0.4686174988746643
1394,rr,sub-CTS201,2,union,std,1.410912275314331,2.424758195877075
1393,rr,sub-1,4,union,sig,8.09121783017005,1.7135681106230574
1392,rr.rs,sub-1,0,union,mean,689.3113403320312,152.44488525390625
1391,rr.rs,sub-36,18,union,sig,9.39210825005637,0.8082389901759992
1390,rr,sub-CTS201,13,union,mean,388.7637023925781,43.646942138671875
1389,rs,sub-xp207,4,union,std,3.248180627822876,7.230854511260986
1388,rr,sub-36,13,union,sig,9.417648594703424,0.8644717634640663
1387,rr.rs,sub-xp201,5,union,sig,5.405781240127214,1.419567497005228
1386,rs,sub-CTS201,10,union,mean,391.17266845703125,46.87936019897461
1385,rr.rs,sub-CTS201,3,union,mean,396.7491760253906,68.21562194824219
1384,rr.rs,sub-adult15,0,union,std,48.4149284362793,66.98650360107422
1383,rr,sub-1,0,union,sig,6.688388180314537,1.9490454945299853
1382,rr,sub-1,11,union,mean,676.106689453125,79.60621643066406
1381,rr.rs,sub-adult15,4,union,std,18.87643814086914,21.257530212402344
1380,rr,sub-36,17,union,sig,9.539060171782898,0.7224030681175013
1379,rr.rs,sub-xp201,1,union,sig,4.741933275764022,1.566564273149685
1378,rs,sub-CTS210,19,union,mean,112.5882339477539,6.8363237380981445
1377,rr.rs,sub-xp201,18,union,sig,5.975516807430654,1.4410942598545278
1376,rs,sub-xp207,0,union,std,9.963899612426758,16.7290096282959
1375,rs,sub-1,18,union,sig,7.046769267429701,0.30157407603322767
1374,rr,sub-CTS210,15,union,mean,113.29193115234375,6.791601657867432
1373,rs,sub-CTS210,2,union,mean,116.58817291259766,15.321595191955566
1372,rs,sub-CTS210,16,union,mean,113.27863311767578,6.773613929748535
1371,rr.rs,sub-xp207,18,union,std,0.7471913695335388,0.683265745639801
1370,rr,sub-CTS201,6,union,std,0.7267041206359863,1.023964524269104
1369,rs,sub-xp201,6,union,std,1.120509386062622,1.4122263193130493
1368,rr.rs,sub-xp207,7,union,sig,8.04422614753996,1.2229651208699996
1367,rr,sub-xp207,8,union,std,1.4029039144515991,2.3976798057556152
1366,rr.rs,sub-CTS201,20,union,std,0.46670281887054443,0.3085685968399048
1365,rr.rs,sub-1,10,union,std,3.654420852661133,0.9819674491882324
1364,rs,sub-xp201,8,union,mean,633.204833984375,79.55311584472656
1363,rr,sub-CTS210,4,union,mean,115.87438201904297,12.455583572387695
1362,rr.rs,sub-CTS210,12,union,std,0.46332547068595886,0.458511084318161
1361,rr,sub-CTS201,18,union,sig,9.445532909785596,0.796618553177063
1360,rr.rs,sub-adult16,10,union,std,7.9914069175720215,8.211321830749512
1359,rr.rs,sub-36,7,union,sig,8.965425396965806,1.2354413103729691
1358,rs,sub-adult16,6,union,std,9.925923347473145,11.120451927185059
1357,rs,sub-xp201,7,union,mean,635.20263671875,83.17069244384766
1356,rr,sub-CTS210,1,union,sig,4.708915957123256,1.5174999682057304
1355,rr,sub-1,3,union,mean,687.657470703125,126.14761352539062
1354,rr.rs,sub-CTS210,16,union,std,0.3706223666667938,0.3411957025527954
1353,rs,sub-1,10,union,mean,675.6094970703125,82.8972396850586
1352,rr,sub-xp201,6,union,mean,637.4005737304688,87.67224884033203
1351,rr,sub-CTS210,5,union,sig,6.87292597032097,1.672214805431794
1350,rs,sub-adult16,2,union,std,18.75938606262207,25.517995834350586
1349,rr.rs,sub-36,3,union,sig,8.392252875066513,1.5043031500750652
1348,rr.rs,sub-adult16,14,union,std,6.698555946350098,6.431821823120117
1347,rr.rs,sub-adult15,9,union,mean,3842.769287109375,772.556396484375
1346,rr.rs,sub-36,20,union,mean,391.81683349609375,35.833091735839844
1345,rr.rs,sub-xp207,3,union,sig,7.254360669097978,1.664448072447016
1344,rs,sub-xp201,2,union,std,2.946626901626587,4.7579193115234375
1343,rs,sub-adult15,9,union,std,10.112451553344727,7.281251907348633
1342,rr,sub-xp201,9,union,mean,631.4302978515625,76.62376403808594
1341,rr.rs,sub-xp207,13,union,mean,455.2832336425781,44.0314826965332
