,prefix,dataset,subject,fwh,mask,stat,mean,std
1511,rr.rs,ds001748,sub-adult16,1,union,std,0.007223784923553467,0.004345468245446682
1510,rr.rs,ds000256,sub-CTS201,10,union,mean,0.6968778371810913,0.15310075879096985
1509,rs,ds001748,sub-adult15,12,union,sig,7.555162059324819,1.5777642149899869
1508,rr,ds001748,sub-adult16,0,union,std,0.008338060230016708,0.004696000833064318
1507,rr.rs,ds001771,sub-36,12,union,mean,0.7485854029655457,0.1522694230079651
1506,rs,ds000256,sub-CTS210,7,union,std,0.0143961226567626,0.009619263932108879
1505,rr,ds001771,sub-36,18,union,sig,7.175595868858443,1.299604165002347
1504,rs,ds001600,sub-1,7,union,std,0.0037680550012737513,0.003022807417437434
1503,rr.rs,ds002338,sub-xp201,11,union,mean,0.6020346879959106,0.10806646943092346
1502,rr.rs,ds000256,sub-CTS210,6,union,std,0.008258911781013012,0.007096712477505207
1501,rs,ds000256,sub-CTS210,20,union,mean,0.7564083933830261,0.13392944633960724
1500,rr.rs,ds002338,sub-xp201,8,union,sig,3.6378545811693006,0.7413826338578838
1499,rr.rs,ds001748,sub-adult16,18,union,mean,0.6308443546295166,0.15994910895824432
1498,rr,ds002338,sub-xp207,18,union,sig,5.99061750932777,0.42778311609530273
1497,rs,ds000256,sub-CTS210,3,union,std,0.022088022902607918,0.013186510652303696
1496,rs,ds001600,sub-1,3,union,std,0.0038164553698152304,0.005214977543801069
1495,rs,ds000256,sub-CTS201,7,union,mean,0.6950871348381042,0.15829910337924957
1494,rr,ds002338,sub-xp207,11,union,mean,0.5209997296333313,0.08707645535469055
1493,rr.rs,ds000256,sub-CTS210,16,union,mean,0.8784381151199341,0.06808170676231384
1492,rr.rs,ds000256,sub-CTS210,2,union,std,0.024968238547444344,0.01030648872256279
1491,rr.rs,ds001748,sub-adult15,20,union,mean,0.6141547560691833,0.15826140344142914
1490,rr,ds002338,sub-xp201,18,union,std,0.0028958353213965893,0.0004397228767629713
1489,rr.rs,ds001748,sub-adult16,17,union,mean,0.628857433795929,0.16157902777194977
1488,rr.rs,ds001748,sub-adult16,5,union,std,0.0019858141895383596,0.0021099692676216364
1487,rs,ds001600,sub-1,12,union,mean,0.6803507804870605,0.15300436317920685
1486,rs,ds000256,sub-CTS201,8,union,mean,0.6951518654823303,0.1573561728000641
1485,rr,ds001748,sub-adult16,4,union,std,0.001788513152860105,0.0023054752964526415
1484,rs,ds001748,sub-adult15,16,union,sig,7.332376174883167,1.4383322722145566
1483,rr.rs,ds000256,sub-CTS210,19,union,mean,0.8784295320510864,0.0718894675374031
1482,rr.rs,ds001748,sub-adult15,6,union,std,0.002545430324971676,0.002898141974583268
1481,rr,ds001771,sub-36,14,union,sig,6.5388361786139875,1.297757538022392
1480,rs,ds000256,sub-CTS210,20,union,sig,4.356414026993973,0.44159997789507127
1479,rr.rs,ds001748,sub-adult15,17,union,sig,6.793419677895483,1.2580805147859706
1478,rr.rs,ds002338,sub-xp201,0,union,sig,3.36836387620235,0.5780064436595778
1477,rr,ds001748,sub-adult15,7,union,std,0.0022465691436082125,0.0027079370338469744
1476,rr,ds002338,sub-xp207,10,union,sig,5.301693102772558,0.4027059677127857
1475,rr,ds001748,sub-adult16,12,union,mean,0.6133071184158325,0.17894679307937622
1474,rr.rs,ds001600,sub-1,2,union,std,0.01817968487739563,0.006356257479637861
1473,rr,ds002338,sub-xp201,10,union,std,0.0046359216794371605,0.0007466187234967947
1472,rr,ds001600,sub-1,7,union,std,0.0027169680688530207,0.002989009255543351
1471,rs,ds000256,sub-CTS201,12,union,sig,7.54341412415544,1.5226757511118982
1470,rs,ds001748,sub-adult15,8,union,mean,0.6508634686470032,0.1819297820329666
1469,rr.rs,ds000256,sub-CTS210,0,union,mean,0.40956535935401917,0.060973331332206726
1468,rr,ds001748,sub-adult16,8,union,std,0.0012453979579731822,0.0015911698574200273
1467,rr.rs,ds001600,sub-1,1,union,mean,0.5867246389389038,0.12398000061511993
1466,rs,ds000256,sub-CTS201,16,union,sig,7.496445323635321,1.5011772883696946
1465,rs,ds001748,sub-adult15,15,union,mean,0.5868050456047058,0.17746008932590485
1464,rr,ds001600,sub-1,3,union,std,0.00540594756603241,0.005208788905292749
1463,rr,ds002338,sub-xp201,14,union,std,0.003786955727264285,0.000472302024718374
1462,rr.rs,ds001600,sub-1,6,union,std,0.004061612766236067,0.004353856667876244
1461,rr.rs,ds001748,sub-adult16,9,union,std,0.0013685600133612752,0.0017180920112878084
1460,rs,ds001748,sub-adult15,7,union,mean,0.6586359739303589,0.18566079437732697
1459,rr.rs,ds001748,sub-adult15,2,union,std,0.00515935942530632,0.005544919986277819
1458,rr,ds002338,sub-xp207,14,union,sig,5.617435782800409,0.4237764748777903
1457,rr.rs,ds001748,sub-adult15,13,union,sig,6.265730144538896,1.3135162762935433
1456,rr,ds001748,sub-adult15,3,union,std,0.004137532319873571,0.00485151307657361
1455,rr.rs,ds002338,sub-xp201,4,union,sig,3.537657671662068,0.44108612303848066
1454,rr,ds001748,sub-adult15,4,union,mean,0.6430322527885437,0.1893020123243332
1453,rr,ds001771,sub-36,10,union,sig,7.472369373276292,1.4066165313599084
1452,rr,ds000256,sub-CTS210,15,union,std,0.005546029191464186,0.004955532494932413
1451,rr,ds001748,sub-adult16,2,union,mean,0.6147476434707642,0.17291522026062012
1450,rr,ds002338,sub-xp201,0,union,mean,0.34958478808403015,0.0684257373213768
1449,rr,ds001771,sub-36,9,union,std,0.0019700671546161175,0.0020258778240531683
1448,rr.rs,ds000256,sub-CTS210,14,union,std,0.0038649507332593203,0.00361838610842824
1447,rs,ds001748,sub-adult16,1,union,mean,0.5884860157966614,0.16422908008098602
1446,rr.rs,ds001600,sub-1,15,union,mean,0.6953186392784119,0.14475536346435547
1445,rr.rs,ds002338,sub-xp207,2,union,sig,3.3369122573206247,0.438794272832237
1444,rr.rs,ds000256,sub-CTS201,9,union,sig,4.541670718686689,0.20355016502253814
1443,rs,ds000256,sub-CTS201,8,union,sig,5.31530848813377,0.35449913429318014
1442,rr.rs,ds002338,sub-xp207,6,union,sig,4.767209966935834,0.4576070108847507
1441,rr,ds001600,sub-1,8,union,mean,0.6727019548416138,0.15889737010002136
1440,rs,ds002338,sub-xp201,1,union,mean,0.38761189579963684,0.0795852392911911
1439,rr,ds000256,sub-CTS210,11,union,std,0.007978163659572601,0.0053683072328567505
1438,rr.rs,ds000256,sub-CTS210,10,union,std,0.005682702641934156,0.004354163073003292
1437,rr,ds001600,sub-1,7,union,mean,0.6785944700241089,0.1583031564950943
1436,rr.rs,ds002338,sub-xp207,4,union,mean,0.5083708167076111,0.0985027626156807
1435,rs,ds002338,sub-xp207,17,union,mean,0.5425930023193359,0.08607497066259384
1434,rr,ds001600,sub-1,12,union,sig,7.494126192667045,1.3743084469843745
1433,rs,ds000256,sub-CTS201,4,union,sig,4.243444235195321,0.1968671310626255
1432,rr.rs,ds000256,sub-CTS201,5,union,sig,2.6923477265170126,0.0647283356653247
1431,rr,ds000256,sub-CTS201,1,union,mean,0.5754714012145996,0.11734991520643234
1430,rs,ds002338,sub-xp207,18,union,mean,0.5539623498916626,0.0872708186507225
1429,rr.rs,ds000256,sub-CTS210,18,union,std,0.0036517633125185966,0.0030738143250346184
